GEO_ID,NAME,tract,total_population,CARES_exclusion_c,pay over 50,percentage-renters-less12k,ui_rate,unemployment rate,Risk of Job Displacement,non_high_school_per,college_per,med_income,renter_num,renter_per,mid_rent,rent_35,total,latinx,white,black,asian,include,CARES_exclusion_c bin,pay over 50 bin,percentage-renters-less12k bin,ui_rate bin,unemployment rate bin,Risk of Job Displacement bin,sum_rankings,RVI
1400000US36047013900,"Census Tract 139, Kings County, New York",36047013900,3420,0.19591543045321647,0.14,0.11420059582919563,-0.006359102244388959,3.6,0.046500920810313075,5.5,73.4,130594.0,1007.0,71.5,2259.0,24.2,3420.0,14.2,65.3,5.1,6.6,1,3,1,1.0,1,1,1,8.0,1
1400000US36047014000,"Census Tract 140, Kings County, New York",36047014000,1979,0.0,0.21,0.2966101694915254,0.04966622162883816,3.38,0.15953307392996108,15.5,42.4,72083.0,472.0,58.9,1338.0,37.3,1979.0,11.4,68.0,3.5,17.2,0,,,,,,,,0
1400000US36047014100,"Census Tract 141, Kings County, New York",36047014100,3033,0.05809125911638657,0.27,0.2110762800417973,-0.11944847605224962,6.8,0.08159722222222222,7.0,73.2,91836.0,957.0,70.4,2173.0,43.8,3033.0,21.4,54.2,2.3,12.2,1,2,3,2.0,1,3,1,12.0,1
1400000US36047014200,"Census Tract 142, Kings County, New York",36047014200,2755,0.0,0.32,0.24586549062844543,-0.18860103626943014,8.53,0.10688665710186514,12.5,43.4,57096.0,907.0,71.5,1580.0,43.3,2755.0,14.9,65.6,1.2,15.3,1,1,3,2.0,1,4,2,13.0,1
1400000US36047014300,"Census Tract 143, Kings County, New York",36047014300,3469,0.17449413483136356,0.22,0.14919735599622286,0.14016901408450733,4.96,0.1757437070938215,12.900000000000004,62.0,108171.0,1059.0,75.2,2077.0,36.7,3469.0,34.2,50.4,2.3,6.1,1,3,2,1.0,3,2,3,14.0,2
1400000US36047014500,"Census Tract 145, Kings County, New York",36047014500,3848,0.0,0.27,0.24302496328928047,0.12807745504840917,3.77,0.190440346255175,14.900000000000004,53.9,75984.0,1362.0,80.2,1776.0,42.8,3848.0,35.1,54.3,1.1,5.0,1,1,3,2.0,3,1,4,14.0,2
1400000US36047014700,"Census Tract 147, Kings County, New York",36047014700,2473,0.36323129512737573,0.25,0.19646017699115045,0.03905213270142183,4.98,0.0968681718863802,12.799999999999995,55.7,88250.0,565.0,63.4,1879.0,43.0,2473.0,35.7,51.2,2.2,4.9,1,5,2,1.0,2,2,1,13.0,1
1400000US36047014800,"Census Tract 148, Kings County, New York",36047014800,1320,0.0,0.36,0.3776223776223776,-0.1382653061224488,6.14,0.08224299065420561,20.400000000000006,39.5,68929.0,143.0,30.2,1375.0,58.7,1320.0,6.1,82.9,2.4,10.5,0,,,,,,,,0
1400000US36047014900,"Census Tract 149, Kings County, New York",36047014900,5888,0.32625400327785326,0.13,0.06514382402707276,0.0974990075426756,5.01,0.12048192771084337,7.599999999999994,72.0,126008.0,1182.0,53.1,2309.0,22.0,5888.0,24.1,63.6,0.9,6.5,1,5,1,1.0,3,2,2,14.0,2
1400000US36047015000,"Census Tract 150, Kings County, New York",36047015000,1567,0.04002532848755591,0.27,0.25217391304347825,-0.07370441458733201,1.8,0.08028169014084507,15.200000000000005,43.7,73828.0,230.0,36.9,1447.0,50.2,1567.0,7.8,72.6,0.3,18.4,0,,,,,,,,0
